"","imdb_title_id","title","year","genre","duration","country","language","director","avg_vote","votes","budget","usa_gross_income","worlwide_gross_income","metascore","reviews_from_users","reviews_from_critics"
"66812","tt2378884","Cavemen",2013,"Comedy",88,"USA","English","Herschel Faber",5.3,4302,1200000,5948,5948,19,20,10
"66855","tt2382396","Joe",2013,"Crime, Drama",117,"USA","English","David Gordon Green",6.9,44806,4000000,373375,2431443,74,146,172
"66858","tt2383068","The Sacrament",2013,"Horror, Thriller",99,"USA","English","Ti West",6.1,16587,4000000,9221,9221,49,100,206
"66905","tt2387433","Dark Skies - Oscure presenze",2013,"Horror, Sci-Fi, Thriller",97,"USA","English","Scott Stewart",6.3,69614,3500000,17418667,27858103,50,273,258
"66925","tt2388715","Oculus - Il riflesso del male",2013,"Horror, Mystery",104,"USA","English","Mike Flanagan",6.5,114486,5000000,27695246,44459951,61,459,362
"66936","tt2389182","Cheap Thrills",2013,"Comedy, Crime, Drama",88,"USA","English","E.L. Katz",6.7,17439,200000,59424,59424,63,69,202
"66951","tt2390361","Non dico altro",2013,"Comedy, Drama, Romance",93,"USA","English","Nicole Holofcener",7,58016,8000000,17550872,25288872,78,164,242
"67146","tt2404555","Copperhead",2013,"Drama",120,"USA","English","Ron Maxwell",5.5,869,12000000,171740,171740,34,23,12
"67237","tt2420124","Wendy",2020,"Drama, Fantasy",111,"USA","English","Benh Zeitlin",5.7,1405,6000000,143518,144564,54,41,52
"67300","tt2436386","Benvenuti a ieri",2015,"Drama, Mystery, Sci-Fi",106,"USA","English","Dean Israelite",6.4,74937,12000000,22348241,33213241,47,237,185
"67362","tt2452042","Snoopy & Friends - Il film dei Peanuts",2015,"Animation, Comedy, Family",88,"USA","English","Steve Martino",7.1,41469,99000000,130178411,246233113,67,199,242
"67364","tt2452244","Non è romantico?",2019,"Comedy, Fantasy, Romance",89,"USA","English","Todd Strauss-Schulson",5.9,60192,31000000,48791187,48791187,60,415,126
"67423","tt2463512","Hateship Loveship",2013,"Drama, Romance",104,"USA","English","Liza Johnson",6.1,6451,5000000,54030,83008,59,32,55
"67434","tt2465140","The Single Moms Club",2014,"Comedy, Drama",111,"USA","English","Tyler Perry",5.3,5769,8000000,15973881,16365451,31,33,20
"67435","tt2465146","Mai così vicini",2014,"Comedy, Drama, Romance",94,"USA","English","Rob Reiner",5.8,12539,18000000,15160801,25419147,38,63,115
"67464","tt2474024","The Last Five Years",2014,"Comedy, Drama, Musical",94,"USA","English","Richard LaGravenese",5.9,9305,3500000,145427,292092,60,51,82
"67524","tt2488496","Star Wars - Il risveglio della Forza",2015,"Action, Adventure, Sci-Fi",138,"USA","English","J.J. Abrams",7.9,845102,245000000,936662225,2068224036,80,4822,909
"67604","tt2510894","Hotel Transylvania 2",2015,"Animation, Comedy, Family",89,"USA","English","Genndy Tartakovsky",6.7,103704,80000000,169700110,474800000,44,159,184
"67677","tt2527336","Star Wars - Gli ultimi Jedi",2017,"Action, Adventure, Fantasy",152,"USA","English","Rian Johnson",7,547797,317000000,620181382,1332540187,84,6718,717
"67678","tt2527338","Star Wars: L'ascesa di Skywalker",2019,"Action, Adventure, Fantasy",141,"USA","English","J.J. Abrams",6.6,347274,275000000,515202542,1074144248,53,7553,502
"67682","tt2528814","God's Not Dead - Dio non è morto",2014,"Drama",113,"USA","English","Harold Cronk",4.7,39834,2000000,60755732,64676349,16,721,57
"67691","tt2531344","Giù le mani dalle nostre figlie",2018,"Comedy",102,"USA","English","Kay Cannon",6.2,69041,21000000,60311495,94017294,69,355,191
"67833","tt2561572","Duri si diventa",2015,"Comedy, Crime",100,"USA","English","Etan Cohen",6,120243,40000000,90411453,111711453,34,169,191
"67835","tt2562232","Birdman o (L'imprevedibile virtù dell'ignoranza)",2014,"Comedy, Drama",119,"USA","English","Alejandro G. Iñárritu",7.7,566487,18000000,42340598,103215094,87,1390,628
"67861","tt2568862","Insospettabili sospetti",2017,"Comedy, Crime",96,"USA","English","Zach Braff",6.6,74811,25000000,45018541,84918541,50,168,186
"67924","tt2581244","Life After Beth - L'amore ad ogni costo",2014,"Comedy, Fantasy, Horror",89,"USA","English","Jeff Baena",5.6,19529,2400000,88273,274717,50,74,171
"67931","tt2582496","Quel fantastico peggior anno della mia vita",2015,"Comedy, Drama",105,"USA","English","Alfonso Gomez-Rejon",7.7,120658,8000000,6758416,9074749,74,225,316
"67937","tt2582782","Hell or High Water",2016,"Action, Crime, Drama",102,"USA","English","David Mackenzie",7.6,198293,12000000,27007844,37879877,88,446,320
"67939","tt2582802","Whiplash",2014,"Drama, Music",106,"USA","English","Damien Chazelle",8.5,690732,3300000,13092000,48983260,88,1213,583
"67940","tt2582846","Colpa delle stelle",2014,"Drama, Romance",126,"USA","English","Josh Boone",7.7,337110,12000000,124872350,307166834,69,692,336
"68043","tt2609758","A Madea Christmas",2013,"Comedy, Drama, Romance",100,"USA","English","Tyler Perry",4.9,5734,25000000,52543354,53396635,28,32,26
