director,avg_vote
Ramon Zürcher,6.6
Robin Pront,6.8
Michaël R. Roskam,6.3
Osman Sinav,5.1
Kongkiat Khomsiri,6.6
Rich Christiano,3.7
Fanny Ardant,4.8
Benoît Jacquot,5
Thomas Sieben,6.4
Faozan Rizal,7.6
Alfonso Cortés-Cavanillas,5.5
Saratswadee Wongsomphet,6.4
Wenn V. Deramas,5.3
Ruel S. Bayani,6
Silvije Petranovic,5.7
Omar Ashmawey,4.3
Patrick Fogarty,7.5
Makoto Shinkai,7.5
Madhupal,7.5
"Aleksandr Baranov, Dmitriy Kiselev",2.8
Konstantin Feoktistov,5.2
"Artyom Aksenenko, Sarik Andreasyan",6.3
Charlie Nguyen,6.8
Paul W.S. Anderson,5.5
Gi-hoon Jeong,6.9
Ahmet Sönmez,6.1
Pierre Salvadori,6.3
Sólveig Anspach,6.5
Evgeniy Abyzov,4.8
Lucas Figueroa,4.4
George Erschbamer,4.7
Yuriy Bykov,7.3
Petchtai Wongkamlao,5.2
"Abhijit Guha, Sudeshna Roy",6.4
Marcelo Lordello,6.3
Alfonso Rodríguez,5.1
John Geddes,5.3
Raj Chakraborty,7.7
Maurice Barthélémy,3.8
Nicholas McCarthy,4.8
Frederick Baker,5.6
Pat Kiely,5.1
Maria Douza,6.5
Peter Hutchings,5.5
Zack Whedon,5.7
"Henry Joost, Ariel Schulman",5.5
Ruslan Akun,6.9
David Winters,2.9
M.L. Pundhevanop Dhewakul,5.7
David DeCoteau,2
Sheng Ding,6.1
Mainak Bhaumik,6
Michel Poulette,6.7
Ben Carland,4.9
Jack James,4.1
Martin Le Gall,6
Nattawut Poonpiriya,6.4
Pat Necerato,2
Santi Amodeo,5.6
Jeff Hathcock,8.2
Naoyuki Tomomatsu,3.6
Samuel Collardey,6.2
Ahmed Nader Galal,6.2
Ahmed Nader Galal,6.1
Ahmed Nader Galal,7.1
Neil Johnson,2.8
Praveen Sattaru,6
Takashi Ishii,5.3
L. Gustavo Cooper,3.4
Osman Evre Tolga,5.5
"George Loomis, Elias Talbot",6.7
"Zach Miller, Deborah Twiss",3.7
Samuthirakani,6.5
Brigitte Roüan,5.4
Nadir Moknèche,4.9
Chris Zonnas,5.5
Yilmaz Erdogan,7.8
Tom O'Brien,5.5
M.J. Delaney,4.7
Alphan Eseli,7.3
Rune Denstad Langlo,6.3
Bhushan Patel,3.9
Bertrand Tavernier,6.3
Stephen McKendree,2.5
Makrand Deshpande,3.5
Sam Vasquez,5.5
Tyler Perry,4.9
Mark Bessenger,6.2
Jonas Odenheimer,3.6
Nicole van Kilsdonk,6.1
Boudewijn Koole,6.7
Simone van Dusseldorp,6.6
G.S. Vijayan,5.4
Togan Gökbakar,2.8
Dagmar Seume,5.1
Zeresenay Mehari,6.8
Keoni Waxman,4.4
Kuntaa Nikkil,7.3
Zdravko Sotra,5.6
"Ulas Cihan Simsek, Cengiz Deveci",3.4
C.S. Amudhan,7.3
Suraj,2.4
Michael Sturminger,6.1
Yann Demange,7.2
Steve Reeves,6.3
Prashant Nair,6.6
Jeremy Sumrall,2.9
Bruce Goodison,6.2
Stijn Coninx,7.2
Rajkumar Santoshi,4.8
Gerardo Herrero,5.7
Pedro Vasconcelos,4.6
Naganna,7.7
Mohammad Shirvani,4.1
"A.L. Vijay, A.L. Vijay",6.1
Stephan Lacant,7.6
Kyu-sung Jang,5.8
Gilbert Chan,4.9
Christian Keller,6.5
Vanessa Jopp,5
Moisés Ortiz Urquidi,4.4
Jorge Algora,6.3
Justin Daly,6.3
Chris Abell,5.5
Ryan Bellgardt,2.8
"Alexandre Bustillo, Julien Maury",5
Chad Crawford Kinkle,5.2
Tomas Villum Jensen,4.7
Subhash Kapoor,7.5
Christopher Ray,3.4
Vinnil Markan,5.3
Anne Zohra Berrached,5.7
Dylan Bank,3.7
Fred Thomas Jr.,3.8
Lukas Huffman,6.8
Joseph P. Stachura,2.5
Scott Wheeler,2.3
Stephen Lance,5.4
Raoul Girard,3.1
K.S. Manikandan,5.3
Cory Krueckeberg,7
Justin Steeley,3.5
"Stefan Westerwelle, Patrick Schuckmann",5.5
Dito Montiel,5.8
Vasanthabalan,7.6
Richard Griffin,4.1
Priya Krishnaswamy,7.4
Daniele Grieco,4
Hoon-jung Park,7.6
Ariel Winograd,6.3
Patricia Rozema,5.8
Filip Maciejewicz,3.1
Michael Rowe,5.9
Stephen Bradley,6.8
Trish Sie,6
Martin Kemp,5
"Jafar Panahi, Kambuzia Partovi",6.5
Daniel Wolfe,6.3
Eugeniusz Korin,5.9
James Nunn,5.2
Saman Weeraman,7.2
Jin-gyu Cho,6.2
Indra Kumar,4.7
Emily Hagins,6.3
Owen Hurley,5.5
Brian K. Williams,5.3
James Cullen Bressack,4.6
Todd Sheets,6
"Kentarô Ohtani, Kei'ichi Sato",6.2
"Prapas Cholsaranont, Chaiporn Panichrutiwong",5.4
Thomas Murtagh,5.7
Chad Darnell,5.6
Dan Rickard,4.1
B. Unnikrishnan,3.6
Gireesh,4.2
S.S. Rajamouli,8.1
Damian Marcano,5.2
Nini Bull Robsahm,5
Hunter Adams,5.7
Robert Thalheim,6.6
Sticky Fingaz,3.3
"Luke Kenny, Devaki Singh",3.6
Scott Rodgers,4.7
Ankush Bhatt,5.1
"Kate Johnston, Shauna MacDonald",6.4
Jacques Doillon,5.5
Griff Furst,3.5
"Venkat Siddareddy, Purnesh Konathala",4.6
Chris Eska,6.6
Ram Gopal Varma,6.9
,6.9
"Masahiko Murata, Kazuchika Kise",7.2
Chi-jan Hou,6.3
Kris Smith,8
Anthony Wilcox,5.7
Gustav Deutsch,6.5
Nicolás López,3.8
Jeff Ferrell,3.9
Seth MacFarlane,6.3
Steve Pink,5.1
Stephen Belber,6.7
Steve Goltz,3.8
"Ilmar Raag, Dmitry Sheleg",7.1
Asli Özge,5.8
Penny Panagiotopoulou,6.3
Richard Lowry,3.4
"Emmanuel Klotz, Albert Pereira-Lazaro",3.7
Venkat Prabhu,5.7
Timur Bekmambetov,5.7
Alberto Marini,5
Masoud Atyabi,3.9
Alan Rickman,6.5
Neil Jordan,6
Ira Sachs,6.7
"Cathy Scorsese, Kenneth M. Waddell",2.9
Mohamed Bakir,6.2
Boban Samuel,6.5
Sadyk Sher-Niyaz,7.4
Alejandro Hidalgo,6.8
Thomas Szczepanski,4.4
Kelly Schwarze,2.4
Kô Nakahira,6.8
Birsa Dasgupta,5.7
Isabelle Czajka,5.8
Daniel Yee Heng Chan,3.7
Victoria Galardi,5.2
Simon Sandquist,5.4
Álvaro Brechner,6.5
Anton Bormatov,6.6
Takashi Miike,6.5
Mitsuru Hongo,6.9
Keiichi Hara,6.7
Veerabhadram,3.2
Arivazhagan Venkatachalam,7
Tsz Ming Wong,4.6
Charles Nemes,4.5
"Jacob Chase, Robert Festinger",6.4
Hu Guan,5.6
Sermiyan Midyat,6.5
Erol Özlevi,5.2
Nihat Durak,6.2
Neus Ballús,7
Mike Cockayne,6
Stéphanie Joalland,4.7
Aram Gülyüz,5
W.D. Hogan,3.4
Andrew Weiner,4.2
Jesús del Cerro,5.9
Josh Criss,6.1
Rajeev Ravi,7.4
Anton Megerdichev,6.5
Sarik Andreasyan,4.9
Jeff Nichols,6.6
Karen Lam,3.6
Bhaskar,5
David Cocheret,4.3
Renata Pinheiro,6.5
Dustin Mckenzie,6.9
Malgorzata Szumowska,6.6
Diederik Ebbinge,7.2
Boris Khlebnikov,6.2
Andreas Prochaska,7.1
Michael Noer,6.8
Andrea Herrera Catalá,5.8
Jeremy Herrin,7.8
Vladimir Uglichin,3.2
Rigoberto Pérezcano,7.2
Angelo Lopes,2.6
Marita Grabiak,4.2
Philippe Falardeau,7.4
Woo-Ping Yuen,6.1
"Dong-hoon Choi, Kim Hyun-Ho",5.3
Hyeong-jun Bae,5.2
Svetlana Baskova,6.3
Yeon-Shick Shin,5.7
Yûzô Asahara,6.8
Dasaradh,4.6
Bob Shirohata,6.6
Mira Fornay,5.6
Gopichand Malineni,6.1
Claudia Sparrow,5.7
Martha Pinson,8
Joseph Castelo,6.1
Sean J. Vincent,2.2
Jeffrey St. Jules,5
Philippe Godeau,5.7
Elina Psykou,5.8
Joel Potrykus,6.4
Lana Titov,5.5
Steven Vasquez,3.7
Dilip Ghosh,6.1
Jacques Ouaniche,6.3
Will Raée,5.3
Martin Miehe-Renard,5.5
Jérôme Bonnell,6.4
Steven Richter,6.5
"Georgiy Daneliya, Tatyana Ilina",6
Hwan-kyung Lee,8.2
Pernille Fischer Christensen,6.4
"Guto Parente, Uirá dos Reis",6
Jamie Buckner,2.9
Christopher Presswell,5.6
Antonio Tublen,6.6
Justin Lin,7.1
Marcel Gisler,7.1
Benjamin Heisenberg,5.7
Tristan Loraine,5.1
João Salaviza,6.5
DeShon Hardy,2.5
Jeong-kwon Kim,6.3
Arthur Louis Fuller,4.2
Arild Østin Ommundsen,6.4
Pavel Hoodyakov,2.6
Valeriya Gay Germanika,4.9
Cüneyt Kaya,6.5
Hideki Takeuchi,6.1
"John Andreas Andersen, Lisa Marie Gamlem",5.3
Nicolas Castro,5.8
Pål Øie,5.2
Frédérick Pelletier,6.7
Christoph Behl,5.2
Chad Zuver,3.9
Steven Gomez,5.7
"Kemal Uzun, Serdar Akar",7.2
"Thomson K. Thomas, Kanal Kannan",3.6
Jesse Zwick,6.4
Liv Ullmann,5.4
Shinji Aramaki,6.4
Khavn,6.2
Luis Urquiza,6.4
Hanung Bramantyo,6.8
Bradley King,6.5
Mohammad Banki,2.4
Markus Goller,5.9
Ebrahim Sheibani,4.7
"Tyler Perry, Derrick Doose",4.4
Ali Sade,7.9
Reha Erdem,7.2
Mike Ott,6.7
Wasin Pokpong,6.6
M.L. Pundhevanop Dhewakul,5.5
Tom Shoval,6.1
Reza Attaran,5.6
Slawomir Krynski,3.3
Patryk Vega,3.6
Jim Loach,6.3
William Parker,5.4
Corey Norman,5.6
"Serge Avedikian, Olena Fetisova",6.7
Denzel Washington,7.2
Eric Wirix,5.2
Bettina Blümner,6
"Hakki Kurtulus, Melik Saraçoglu",6.2
George Clarke,2.9
Tricia Lee,4.1
Brian Skiba,4.6
Rambod Javan,4.9
Danny Patrick,9.4
"Simonas Askelavicius, Edita Kabaraite",6.3
Paolo Mitton,6
Christopher Butler,4
Anurag Singh,7.4
Jonathan Mostow,5.6
Thea Sharrock,7.4
Mark Elijah Rosenberg,4.8
Jonathan Teplitzky,6.1
Eli Dorsey,2
Hans Petter Moland,7.2
Abhishek Chaubey,7.1
Luciano Saber,2.9
Justin Cole,6.1
David Chirchirillo,2.8
Kamal Haasan,5.9
Katharina Mückstein,5.9
Brad Furman,6.3
R. Kannan,4.4
Renaud Gauthier,5
R.T. Neason,6
Aleksander Bach,5.7
Amit Masurkar,7.1
V.K. Prakash,5.4
John Moore,5.5
Milan Cieslar,6.1
Kutlug Ataman,6.6
Chris LaMartina,4.6
Jorge Michel Grau,4.4
"Andrew Mogel, Jarrad Paul",5
Mark L. Lester,2.5
Pekka Lehto,5.6
Michael Engler,6.5
Adam Rifkin,6
Sabha Ayyappan,3.9
Carlos Rincones,6.2
Benjamín Naishtat,4.9
Hemant Madhukar,2.7
Naoto Kumazawa,6.9
Colette Bothof,6.1
Jean van de Velde,6.8
Fereidoun Hasanpour,5
Dustin Mills,3
,6.7
Jan Verheyen,7.1
Ruba Nadda,5.2
Shawn Levy,6.2
Teddy Soeriaatmadja,7.4
Víctor Matellano,4.1
Steven Knight,7.1
Martin Rutley,2.4
Julia Hart,6.6
Jake Paltrow,5.9
"Jean-Luc Godard, Peter Greenaway",5.8
Amit Prasher,5.5
Barney Elliott,6
Nandini Reddy,3.9
Nikos Panayotopoulos,4.1
Oden Roberts,6.4
Svetlana Baskova,6.6
Ahishor Solomon,5.6
"Alexander Kulikov, Mikhail Raskhodnikov",2.4
Emmanuel Mouret,5.3
James Rouse,6.5
Isabel de Ayguavives,6.6
Greg A. Sager,4.3
Joe Eckardt,4.4
Ben Falcone,5.4
Marc Munden,5.5
"John Francis Daley, Jonathan Goldstein",6.9
Jacob Jerome,2.9
Priyadarshan,5.1
Anish Khanna,2.6
Martín Rejtman,6.3
Matt Creed,5.9
Richard Levine,5.6
Bertrand Bonello,6.2
Jalil Lespert,6.3
Jake Goldberger,6.9
"John B Sovie II, Kristian Hanson",3.2
Girish Malik,6.8
"Radhika Rao, Vinay Sapru",3.4
Yûichi Fukuda,5.9
Mani Maserrat-Agah,5.3
Tom Lass,5.2
Jorien van Nes,6.7
Norio Tsuruta,5
"Yarrow Cheney, Scott Mosier",6.3
"Craig DiFolco, Pete DiFolco",3.4
John Real,7
Ho-Young Kwon,6.5
"Chris Renaud, Yarrow Cheney",6.5
Spenser Fritz,3.8
K. Balachander,7.3
Timothy A. Chey,5.8
"Gez Medinger, Robin Schmidt",4
Igor Ivanov Izi,6.8
Lô Politi,5.3
"Bandar Albuliwi, Ghazi Albuliwi",6.5
Benoît Jacquot,5.5
Kenneth Mader,4.4
Matthew Hammett Knott,5.4
David Ayer,7.6
Rizal Mantovani,7.2
Paul Tarnopol,2.8
Casey La Scala,4.3
Miles Doleac,4.9
Puri Jagannadh,5.7
Navaniat Singh,6.7
Akihiko Shiota,6.7
Hardi Volmer,7.2
Jarand Herdal,3.1
Christopher R. Mihm,5.3
Steven Moore,6.4
Neasa Hardiman,5.7
Marion Hänsel,6.2
Tony Kern,5.1
Kamal,7.7
David Beton,4.6
Daniel Grou,5.9
Erik Matti,7
Michael Dailey,4.9
Michael Mann,5.4
Lone Scherfig,6
Rigoberto Castañeda,3.7
"Dean Jones, Dean Jones",4.2
Antoine Bardou-Jacquet,6.1
Philipp Leinemann,6.6
Juan Taratuto,6.5
Pawel Pawlikowski,7.4
Jan Hrebejk,6.5
"Joanna Kos-Krauze, Krzysztof Krauze",7.4
Zdenek Troska,2.9
Samanou Acheche Sahlstrøm,6.6
Doug Spearman,5.6
Baltasar Kormákur,7.1
Mark Thiedeman,5.6
Kristian Levring,6.7
Gerard Diefenthal,4.3
Bobbie Peers,5.5
Kôji Fukada,6.1
Mark Atkins,2.8
Bryan Ferriter,5.1
Fernando Franco,6.3
Diego Luna,5.7
"Taedong Park, Mauricio De la Orta",4.8
Krzysztof Lukaszewicz,6.4
Joanna Coates,4.5
Johannes Naber,7.1
Mona Fastvold,4.9
J.M.R. Luna,5.6
Akseli Tuomivaara,5.1
Allan Ungar,5.8
Ham Tran,6.8
"Andy Hamilton, Guy Jenkin",6.9
Audrey Cummings,4.8
Andy Goddard,5.3
George Tillman Jr.,7.1
Eeshwar Nivas,5
Keisuke Yoshida,6.7
Hiroshi Shinagawa,6.4
Isa Qosja,7.1
Batan Silva,3.6
Robert Rice,5
Arindam Sil,6.1
Rúben Ferreira,6.4
Del Shores,6.6
Robert Bellsolà,4.1
Anton Sigurdsson,4.8
Stanley Yung,3.7
Guillermo Fernández Groizard,5.3
Todd Verow,4.2
Mathieu Seiler,5.5
"Hélène Cattet, Bruno Forzani",6
Dean Whitney,3.2
Paula Ortiz,6.7
Eric Haywood,5.2
Koichi Sakamoto,4.6
Natan Moss,4.6
Martin Owen,3.3
Justin Hardy,5.2
Alaa El Sherief,2.8
Isabel Coixet,6.2
Jahmil X.T. Qubeka,6.5
Jimmy Loweree,4.1
Karen Oganesyan,2.4
Jon Keeyes,4.1
Mehmet Ada Öztekin,5.6
Alper Mestçi,3.5
Talip Karamahmutoglu,3.2
Levent Demirkale,6.7
"Jean-Pierre Dardenne, Luc Dardenne",7.3
Susanne Bier,6.6
James Moran,4.7
Arvin Chen,6.6
Adam White,5.5
Dan Eberle,5.5
John Stephenson,6.2
Kayoko Asakura,2.6
"Marius Balchunas, David Dodson",5.1
Paul Tanter,3
Jenn Page,6
Mitchell Lichtenstein,4.9
Su-won Shin,6.3
"Nana Ekvtimishvili, Simon Groß",7.6
Tanikella Bharani,7.7
Joshua Shreve,6.1
Dheeraj Rattan,5.6
Hilton Lacerda,7.2
Lírio Ferreira,6.4
Richard Goudreau,6.2
Adrian Langley,4.1
Lenin M. Sivam,6.8
Takanori Tsujimoto,5.4
Bob Yari,6.3
Danny Roew,5.1
Christian Lo,5
Bhavani Shankar Kaipa,8.3
Brandy Berry,2.6
Isaac Feder,5.5
Alain Resnais,6
Edoardo Leo,6.2
Ugur Yücel,5.8
François Ozon,6.7
Rasmus A. Sivertsen,4.7
Jon Stewart,6.6
Estlin Feigley,4.9
"Matt Bettinelli-Olpin, Tyler Gillett",4.1
Ciarán Foy,5.3
Hee-il Leesong,6.5
Sophie Chiarello,4.8
Rabi Kinagi,5.7
Santiago Loza,6.1
Jimmy Costa,5.4
Charlie McDowell,7.1
Matt Sadowski,5.6
Ahmad Ala El-Dib,6.5
"Edgar Alberto, Alexandre Valente",4
David DeCoteau,2.4
Nuri Bilge Ceylan,8.1
Abel Ferrara,5.4
Scot Armstrong,5.6
Enrico Maria Artale,6
Manish Vatssalya,3.8
Rodrigo Aragão,5.6
Jed Rigney,5.8
Lisa Azuelos,6.3
Daniele Luchetti,6.3
"Juliano Dornelles, Kleber Mendonça Filho",7.5
Brett Simon,5.2
Jessica Cameron,4.5
Vitaliy Versace,4.1
Danny Boyle,7.2
Jose Luis Valle,7
Giorgos Servetas,6
Olga Malea,4.7
Kazuyoshi Kumakiri,6.3
Dong-oh Jo,6.4
Luis López Carrasco,5.6
Christian Petzold,7.3
Wei Zhao,6.4
Árni Ásgeirsson,5.4
Juan Pablo Buscarini,5.6
Joel Paul Reisig,4.2
Sudheer Varma,7.3
Dan Macarthur,4.8
Charlton Jacob Jacques,3
Shailesh Verma,4.8
Riccardo Milani,6.2
Natalia Beristáin,6.6
Yukiyo Teramoto,6.8
Deniz Akcay Katiksiz,6.7
Sergi Pérez,6.4
Michael Storch,3.8
Kordian Piwowarski,5.9
Naoyuki Tomomatsu,3.9
David Hewlett,4.3
Dado C. Lumibao,6.9
Sevé Schelenz,4.1
Rasmus A. Sivertsen,6.8
Mathieu Urfer,6
Takashi Koizumi,6.7
Raj Chakraborty,6.8
Bill Condon,7.1
Rob Thomas,6.8
Brett Ryan Bonowicz,5.8
Juno Mak,6.3
Smeep Kang,6.8
Kinslin,6.3
Li-Kwan Chiu,4
Yibai Zhang,4.3
Cody Calahan,4.5
Guy Pitt,6
Lasja Fauzia,6.7
"Olga Lydia, Rachel Maryam",7.2
Ariel Zeitoun,6.2
Tomasz Wasilewski,6.4
Banjong Pisanthanakun,7.3
Taweewat Wantha,5.3
Chookiat Sakveerakul,7
Joseph Wartnerchaney,4.3
Jason Hall,6.5
Drazen Zarkovic,6.5
Jorge Pérez Solano,6.4
Israr Ahmed,3.5
Ramnath Rigvedhi,7.1
Shakthi S. Rajan,6.7
Massimo Andrei,6.1
P.A. Arun Prasad,6.5
Simon Baker,5.7
Che Sandoval,6.3
Hajime Hashimoto,4.6
Hélier Cisterne,6
Deepu Anthikkad,5.4
Keith R. Robinson,2.4
Shane Wheeler,2.8
David Leon,5
Lowell Dean,5.5
Elliot Goldner,5.8
Billy 'Bloody Bill' Pon,5.9
Jeffrey Walker,6.9
Miguel Littin,6
Ryan Perez,5.3
Jim Gillespie,5.5
Kyle Rideout,6.4
Steve Stark,5
Lukas Nola,6.2
Joaquin Rodriguez,3.2
Jonás Trueba,6.5
Benjamin Meyer,5.4
Scott B. Hansen,5.4
Charles Minsky,5.6
João Canijo,6.3
Simon Hung,2.7
Chika Anadu,7
Jordan Rubin,4.8
Chris Rock,6.4
Michael Petroni,5.9
Josh Lawson,7.1
David Blyth,3.1
Wladyslaw Pasikowski,7.1
Ray Burdis,4.4
Lijo Jose Pellissery,7.8
Devon Mikolas,4.2
Lal Jose,6.8
Corey Pearson,6
Pernilla August,6.3
"Thierry Poiraud, Benjamin Rocher",5.5
Richard Zelniker,4
Kadir Ferati Balci,5.7
T.J. Scott,3.7
Anne Fontaine,6.4
"Evan Goldberg, Seth Rogen",6.5
Shira Piven,5.9
David Lowery,6.7
Hank Leigh Hump,2.8
Alexandre Carvalho,5
Natalie Saracco,5.5
Ryan Piers Williams,4.2
Dominik Graf,6.1
Kirk Sullivan,3.8
Iulia Rugina,6.9
Mona Achache,5.4
Kristina Kjellin,4.2
"Kevin Kölsch, Dennis Widmyer",6
Ganapathy Bharat,7.1
Rabi Kinagi,5.5
Hasan Karacadag,5
"Can Arca, Birkan Uz",4.8
"Shampagne, David Manning",3.2
Siddique,3.6
Jean-Paul Salomé,5.9
Saurabh Varma,6
Toby Lawrence,4.7
"Jennifer Finnigan, Jonathan Silverman",4.5
Oles Yanchuk,5.5
Milko Lazarov,5.3
Shaji Kailas,3
Eun-jin Pang,7.4
Fred Olen Ray,2.8
"Zoya Akhtar, Dibakar Banerjee",6.7
Aaron Warren,5.6
Jennifer Blanc-Biehn,4.3
William Olsson,4.4
Iram Haq,6.2
Billy O'Brien,4.7
Rajiv Chilaka,5.8
Mark Atkins,2.7
Alex Garland,6.8
Patrick Ryan,5.9
Grégory Levasseur,4.6
"Phillip Crawford, Mary Callaghan",5.9
James Manera,4.3
Philippe de Chauveron,7
Emir Kusturica,6.4
Manuel Pradal,4.4
Lawrence Michael Levine,6
Japinder Kaur Baweja,3.7
Yôhei Fukuda,4.7
Josh Beck,6.8
Marco Berger,7.2
Prerna Wadhawan,4.2
Anthony Burns,5.4
Matthew Vaughn,7.7
Andrey Zvyagintsev,7.6
Rob Brown,5.9
Jay Chapman,6.1
Joey Lever,4.2
Michael Matteo Rossi,6.1
Atul Sabharwal,6.5
Sylvestre Sbille,5.9
Dena Hysell-Cornejo,4.1
Ksshitij Chaudhary,6.2
Neil Johnson,3.5
Martín De Salvo,4.8
Tamae Garateguy,5.7
Barnet Bain,5.9
Mrighdeep Lamba,6.9
Olivier Panchot,5.3
Gunasekhar,5.9
Ryszard Bugajski,6.9
Samuli Valkama,5.7
Sion Sono,6.5
Aj Meadows,3.4
Yann Gonzalez,5.7
Ryôhei Watanabe,6.7
Frédéric Auburtin,2.1
Sonam Nair,5.6
"Iris Elezi, Thomas Logoreci",6.8
Pan Nalin,5.9
Lee Hampton,5.5
Alastair Orr,4.7
"Ben Martinez, David Benjamin Franco",4.3
Zephyr Benson,5.3
Brady Corbet,6.1
Saar Klein,5.1
Shahid Khader,6.5
Cathy Garcia-Molina,6.7
Kittikorn Liasirikun,6.3
Jonas Alexander Arnby,5.8
Tom Geens,5.5
Apichatpong Weerasethakul,6.8
"Tal Goldberg, Gal Zelezniak",5.6
Aparna Sen,7.1
William Norton,4.7
Lucas Pavetto,4.7
Francisco Franco Alba,7.2
James Wan,7.1
Claire Denis,6.2
Toshikazu Nagae,5.5
Lou Simon,3.5
Navaniat Singh,5
Allan Spiers,5.3
Katrin Gebbe,6.9
James Roday Rodriguez,5.5
Ash Brannon,5.9
Benoît Jacquot,5.9
Soham Mehta,5.2
Jake Szymanski,6
Paco León,6.7
Ryan Nicholson,4.6
Tony Giglio,4.9
Ate de Jong,4.8
Toshiaki Toyoda,5.9
Madellaine Paxson,6.3
Tommy Frazier,3
James Franco,5.1
"Jino Kang, Tony Urgo",3.5
Douglas Boswell,6.1
Atil Inaç,6.1
Gabriel Sabloff,5.1
Rajesh Bachchani,6.4
Price Hall,3.5
"Molly Green, James Leffler",5.6
Nagraj Manjule,8.3
Krishna,6.4
Ray O'Neill,2.6
Woo-Suk Kang,6.8
Sean McNamara,5.7
Jay Martin,5
Michael Tiddes,4.7
Stian Kristiansen,6.4
"Michael Rob Costine, Mark Gaster",6.3
Garrett Benach,2.4
Jean-François Pouliot,6
Kyle William Roberts,3.9
Nabil Ben Yadir,5.9
Tommy Wirkola,6.9
"Evangelos Giovanis, George Giovanis",6
Ricardo Trogi,7.4
Can Kilcioglu,6.3
Luk Wyns,6.9
Jennifer Blanc-Biehn,3.2
Michel Spinosa,5.3
Arild Fröhlich,5.4
Henrik Hellström,5.6
Rebecca Zlotowski,6.2
Angel Delgado,4.6
James Merendino,4.8
Lorenzo Bianchini,5.5
Pascal Bourdiaux,5.2
John Klein,4.7
"Cris D'Amato, Daniel Filho",6.5
Shawn Ewert,3.5
"Joshua Wagner, Thomas Zambeck",5.4
Simon Rumley,5
Megan Freels Johnston,4.1
Debbie Tucker Green,5.2
Michael Polish,4.3
David Lowery,6.7
Mainak Bhaumik,5.6
Shankaraiya,5.3
Keith English,5.8
Jose Montesinos,4
"Ron Bonk, Donald Farmer",4.4
Sohrab Mirmont,5.3
Eran Riklis,7.2
Ricardo Maldonado,6.4
Michael Cohn,5.7
Germinal Alvarez,6.5
Kornél Mundruczó,6.9
Mohamed Hamidi,6.2
Mark Jackson,4
Pa. Ranjith,7.1
Antonio Mitrikeski,7.9
Vijay Kumar Konda,7.1
Andrew Jones,3.5
Brett Kelly,1.7
Declan Shrubb,4.9
Antonin Peretjatko,6.4
Lena Koppel,4.8
Justine Triet,6.4
Guillaume Brac,6.4
Peter Stylianou,5.5
Nikias Chryssos,6.2
Devin Crittenden,5
Thierry de Peretti,5.9
Mark Netter,5.3
Elizabeth Banks,6.4
Paul Dalio,6.2
Atanu Ghosh,6.8
Marc Esposito,5.6
Shashant Shah,5.3
Maziar Miri,7.4
Laurent Tuel,5.9
Anthony Mandler,5
Paul Tanter,4
Tom Sierchio,6.2
Horatiu Malaele,7.2
Daigo Matsui,5.4
Yannick Saillet,5.1
Amat Escalante,6.8
Mahamat-Saleh Haroun,6.2
Zhangke Jia,7.1
Hany Abu-Assad,7.5
Lav Diaz,7.6
Alain Guiraudie,6.9
Flora Lau,6.1
Ricardo Herrera,4.6
Evan Tramel,4.2
Albert Dupontel,6.4
Paul T.T. Easter,2.5
Michael Polish,3.4
"Robert Benavides Jr., Andy Palmer",3.7
Henri Charr,4.2
Damian Lee,5.5
Jeff Tomsic,6.5
Jordon Thomas Sendall,6.3
Swapan Ahmed,5.3
Ernesto Oña,5
Shoojit Sircar,7.7
Bert I. Gordon,4.1
Gerard Lough,3.7
Harish Shankar,5.1
Vasily Serikov,5.3
Pavel Parkhomenko,6.6
Javier Fesser,6.4
Anshul Sharma,7.1
Kongdej Jaturanrasamee,7.2
Seiji Mizushima,6.7
"Ezequiel Radusky, Agustín Toscano",6.5
Ronald Marquisee,3.7
Sébastien Pilote,7
K.S. Ravikumar,4.1
"Marco Berger, Marcelo Briem Stamm",4.6
Fernando Coimbra,7.4
Basil da Cunha,5.7
Frank D'Angelo,6.1
"Kevin Munroe, Jericca Cleland",5.6
Yüksel Torun,4.3
Takashi Shimizu,5.7
Katarina Launing,7.3
Yolande Moreau,6.1
Denis Dercourt,5.5
Ronni Castillo,7.1
James Ward Byrkit,7.2
Mariana Chenillo,6.3
Rowan Athale,5.8
Vysakh,4.4
Wade Gasque,6.5
Sergio Rubini,5.7
Tim Story,5.9
Ozan Çobanoglu,5.8
Robert Figueras,3.4
Bay Okan,5.3
Tolga Bas,3.5
Gualtiero Negrini,4.2
John Erick Dowdle,6.2
Zach Braff,6.7
Woody Allen,6.5
Susanna Fogel,6.2
Charudutt Acharya,5.5
Sébastien Betbeder,6.7
Julián Hernández,4.4
Akhtem Seitablaev,7.1
Xu Kerr,4.7
M.S. Manimaran,5.7
Noah Baumbach,6.7
Stuart Hazeldine,6.3
Dan Gilroy,7.9
Lluís Quílez,4.8
Luc Besson,6.4
"Mark Burton, Richard Starzak",7.3
Richard Schenkman,4.6
"Tanner King Barklow, Gil Kofman",5.5
Francis Lawrence,6.6
Hiner Saleem,7
Vincent Kok,5.2
David Perrault,5.9
Samir Tewari,3.6
Jorge Ramírez Suárez,7.6
Ian Vernon,4
Marianne Tardieu,5.7
Rabi Kinagi,6.3
R.S. Durai Senthilkumar,6.8
Nalan Kumarasamy,8.3
Estes Tarver,5.9
Satish Rajwade,7.3
"Laura Alvea, Jose Ortuño",5.6
