director,avg_vote
Alan Crosland,6.5
Raymond Bernard,6.8
"Ted Wilde, Harold Lloyd",7.6
Cecil B. DeMille,7.2
"Vsevolod Pudovkin, Mikhail Doller",7.3
Georg Wilhelm Pabst,7.3
Tod Browning,6.8
Frank Capra,6.3
"Edmund Goulding, John Gilbert",6.9
Albert Parker,6.1
Monta Bell,5.9
Benjamin Christensen,6.7
William Nigh,6.4
Sam Taylor,7.4
Abel Gance,8.1
"Grigoriy Aleksandrov, Sergei M. Eisenstein",7.5
Alan Crosland,6.4
Alfred Santell,6.8
Howard Hawks,6.3
Alfred Santell,5.8
Sergey Komarov,6.3
Sidney Franklin,6.4
Roscoe 'Fatty' Arbuckle,6.6
Alfred Hitchcock,6.2
Gregory La Cava,7
Frank Peregini,6.2
Frank Borzage,7.6
William K. Howard,5.6
"Anthony Asquith, A.V. Bramble",7.1
Tod Browning,6.9
Edward Sedgwick,4
Edward Sedgwick,6
"Ernst Lubitsch, John M. Stahl",7.6
Aleksandr Dovzhenko,6.3
F.W. Murnau,8.1
J.P. McGowan,5.5
George W. Hill,6.9
Harry Langdon,6.1
Hobart Henley,5.8
Abram Room,7.4
Jack Conway,5.2
Lewis Milestone,6.7
René Clair,6.8
Harry A. Pollard,6.7
"Josef von Sternberg, Arthur Rosson",7.6
Tod Browning,7.8
John Ford,6.2
Alan Crosland,6.8
"William A. Wellman, Harry d'Abbadie d'Arrast",7.5
W.S. Van Dyke,3.1
Curtis Bernhardt,6.7
"Minwei Li, Hou Yao",6.3
Georg Wilhelm Pabst,7
William Nigh,6
D.W. Griffith,6.5
William A. Wellman,7.5
Jack Conway,4.9
Georg Wilhelm Pabst,7.9
"Edward Sedgwick, Buster Keaton",8.1
Robert Z. Leonard,6.2
Alfred Hitchcock,5.6
Jean Epstein,7.3
Charles Chaplin,8.1
"George W. Hill, Clarence Brown",6.5
René Clair,6.8
Victor Sjöström,6.7
Josef von Sternberg,7.5
Boris Barnet,7.3
Nikoloz Shengelaia,6.9
Alfred Hitchcock,5.9
Howard Hawks,5.9
Gregory La Cava,7
F.W. Murnau,6.3
"Merian C. Cooper, Lothar Mendes",6.9
