,title,year,genre,duration,country,language,director,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,votecat,director_avg
658,Brooklyn Rules,2007,"Crime, Drama",99,USA,English,Michael Corrente,6.3,5441,8000000,458232,458232,53,49,40,Middle,6.216666666666668
659,Il club degli imperatori,2002,Drama,109,USA,English,Michael Hoffman,6.9,16386,12500000,14118751,16318449,49,147,84,High,6.391666666666667
660,The Anarchist Cookbook,2002,"Comedy, Drama, Romance",101,USA,English,Jordan Susman,5.1,1329,2500000,14369,14369,36,48,5,Middle,5.1
661,Crazy as Hell,2002,"Drama, Thriller",113,USA,English,Eriq La Salle,6.0,981,1800000,21679,21679,33,36,11,Middle,6.0
662,Dahmer - Il cannibale di Milwaukee,2002,"Biography, Crime, Drama",101,USA,English,David Jacobson,5.6,9363,250000,144008,144008,63,139,30,Middle,5.233333333333333
663,Monster's Ball - L'ombra della vita,2001,"Drama, Romance",111,USA,English,Marc Forster,7.0,81502,4000000,31273922,45011434,69,529,149,High,6.8999999999999995
664,L'ultima estate,2002,Drama,91,USA,English,Pete Jones,6.5,2616,1800000,134736,163348,36,55,31,Middle,6.45
665,La costa del sole,2002,"Drama, Romance",141,USA,English,John Sayles,6.7,3828,5600000,3065921,3369654,69,81,56,High,6.786666666666665
666,Spy Kids 2 - L'isola dei sogni perduti,2002,"Action, Adventure, Comedy",100,USA,English,Robert Rodriguez,5.2,59287,38000000,85846429,119723358,66,115,105,Middle,5.778571428571428
667,Le superchicche - Il film,2002,"Animation, Action, Adventure",73,USA,English,Craig McCracken,6.6,9102,11000000,11412414,16426471,65,76,50,Middle,6.6
668,Un boss sotto stress,2002,"Comedy, Crime",96,USA,English,Harold Ramis,5.9,81387,60000000,32130627,55003135,37,148,98,Middle,6.263636363636365
669,Blue Car,2002,Drama,96,USA,English,Karen Moncrieff,6.5,3367,1000000,465310,476551,76,67,44,Middle,6.425
670,Full Frontal,2002,"Comedy, Romance",101,USA,English,Steven Soderbergh,4.7,9402,2000000,2512846,3438804,45,168,108,Middle,6.6259259259259276
671,The Wash,2001,Comedy,96,USA,English,DJ Pooh,4.8,6559,7000000,10097538,10229331,18,37,27,Middle,4.733333333333333
672,Onora il padre e la madre,2007,"Crime, Drama, Thriller",117,USA,English,Sidney Lumet,7.3,94917,18000000,7084227,25038466,84,302,206,High,6.653658536585366
673,Friday After Next,2002,"Comedy, Drama",85,USA,English,Marcus Raboy,5.8,25170,10000000,33253609,33526835,35,71,27,Middle,5.466666666666666
674,Rent,2005,"Drama, Musical, Romance",135,USA,English,Chris Columbus,6.9,48187,40000000,29077547,31670620,53,755,86,High,6.546666666666667
675,Personal Velocity - Il momento giusto,2002,"Drama, Romance",86,USA,English,Rebecca Miller,6.5,3471,125000,811299,890502,70,70,59,Middle,6.42
676,Cose da maschi,2003,"Comedy, Romance",101,USA,English,Chris Koch,5.6,16414,20000000,15545431,17432163,27,94,78,Middle,5.35
677,Il maestro cambiafaccia,2002,"Adventure, Comedy, Family",80,USA,English,Perry Andelin Blake,3.4,21991,16000000,40388794,43411001,12,330,51,Middle,3.4
678,Time Changer,2002,"Drama, Fantasy, Sci-Fi",95,USA,English,Rich Christiano,5.2,2230,825000,1305964,1305964,26,176,17,Middle,4.733333333333333
679,The Chronicles of Riddick,2004,"Action, Adventure, Sci-Fi",119,USA,English,David Twohy,6.7,212109,105000000,57761012,115900534,38,699,211,High,6.514285714285714
680,Little secrets - Sogni e segreti,2001,"Comedy, Drama, Family",96,USA,English,Blair Treu,6.4,3078,2500000,405792,750582,52,39,19,Middle,5.800000000000001
681,Brown Sugar,2002,"Romance, Comedy, Drama",109,USA,English,Rick Famuyiwa,6.5,8321,8000000,27363891,28316451,58,58,36,Middle,6.425
682,Manito,2002,"Drama, Family",78,USA,English,Eric Eason,6.7,539,24000,11000,11000,71,21,28,High,6.25
683,The Ring,2002,"Horror, Mystery",115,USA,English,Gore Verbinski,7.1,315069,48000000,129128133,249348933,57,1671,272,High,6.860000000000001
684,Shrek 2,2004,"Animation, Adventure, Comedy",93,USA,English,"Andrew Adamson, Kelly Asbury",7.2,410089,150000000,441226247,928760770,75,546,200,High,7.2
685,Auto Focus,2002,"Biography, Crime, Drama",105,USA,English,Paul Schrader,6.6,13071,7000000,2063196,2704951,66,151,102,Middle,6.094999999999999
686,Cherish,2002,"Comedy, Drama, Thriller",99,USA,English,Finn Taylor,6.7,2657,1500000,179751,179751,51,42,40,High,6.550000000000001
687,All the Real Girls,2003,"Drama, Romance",108,USA,English,David Gordon Green,6.8,10206,2500000,549666,579986,71,128,92,High,6.533333333333335
688,Amore estremo - Tough Love,2003,"Comedy, Crime, Romance",121,USA,English,Martin Brest,2.5,45680,54000000,6087542,7266209,18,429,127,Low,6.6000000000000005
